Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466607679033940143 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607679033940143 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607679357947744 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607679357947751 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607679685992971 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607679685992971 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607680029930099 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607680029930099 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607680365925922 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607680365925922 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607680681960776 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607680681960776 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681005914255 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681005914255 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681317942067 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681317942067 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681649839259 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681649839259 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681977945685 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607681977945692 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607682305863365 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607682305863365 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607682629868611 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607682629868611 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607682949856221 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607682949856221 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607683277832597 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607683277832597 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607683597879379 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607683597879379 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607683913870379 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607683913870379 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607684245858155 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607684245858155 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607684545852497 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607684545852497 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607684869840517 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607684869840525 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607685173841357 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607685173841357 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607685497766196 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607685497766196 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607685821810647 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607685821810647 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607686153803773 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607686153803773 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607686477793946 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607686477793946 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607686789842680 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607686789842680 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607687113678283 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607687113678283 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607687437672309 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607687437672309 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607687765698388 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607687765698388 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607688101688884 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607688101688891 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607688429667167 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607688429667174 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607688749725140 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607688749725140 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607689069662503 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607689069662511 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607689397705674 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607689397705681 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607689717623926 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607689717623934 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690045682579 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690045682586 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690365622378 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690365622378 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690669613495 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690669613495 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690977658763 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607690977658763 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607691309595867 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607691309595867 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607691621636234 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607691621636234 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607691933629631 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607691933629631 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607692269566267 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607692269566267 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607692597606435 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607692597606435 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607692917600579 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607692917600579 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607693233591966 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607693233591966 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607693557579398 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607693557579405 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607693893517784 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607693893517784 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607694221559241 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607694221559248 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607694541496932 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607694541496939 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607694865545332 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607694865545339 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607695181480318 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607695181480318 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607695517469920 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607695517469920 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607695837577573 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607695837577573 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607696161408185 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607696161408185 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607696501545824 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607696501545824 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607696833481229 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607696833481229 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607697157475441 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607697157475449 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607697477414876 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607697477414876 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607697789400815 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607697789400815 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607698105395182 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607698105395190 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607698433492027 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607698433492027 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607698737430982 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607698737430989 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607699065417215 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607699065417222 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607699389354638 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607699389354638 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607699713396698 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607699713396698 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607700033291406 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607700033291406 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607700361379407 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607700361379407 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607700681317932 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607700681317932 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701017321504 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701017321504 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701333401530 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701333401530 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701649297416 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701649297423 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701969342947 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607701969342947 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607702289341248 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607702289341256 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607702601327203 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607702601327203 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607702917347893 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607702917347893 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607703225357979 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607703225357979 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466607703561278432 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466607703561278432 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
