Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466592239436956979 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592239436956979 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592239752915516 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592239752915523 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592240092922821 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592240092922836 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592240416912376 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592240416912391 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592240741026520 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592240741026528 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592241057011932 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592241057011947 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592241408970691 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592241408970691 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592241712890945 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592241712890952 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242020865805 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242020865820 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242332872144 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242332872152 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242640915177 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242640915185 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242960957825 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592242960957840 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592243272892698 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592243272892713 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592243584829255 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592243584829263 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592243928811982 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592243928811989 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592244252800717 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592244252800732 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592244568852677 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592244568852685 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592244880897097 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592244880897104 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592245204827457 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592245204827465 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592245528818890 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592245528818897 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592245848729170 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592245848729178 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592246208740927 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592246208740942 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592246520824171 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592246520824179 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592246832736410 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592246832736425 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592247148778475 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592247148778475 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592247460759155 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592247460759162 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592247772668480 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592247772668495 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592248096656799 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592248096656814 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592248408732496 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592248408732503 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592248740681432 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592248740681439 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592249068667873 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592249068667873 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592249400711059 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592249400711059 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592249732646711 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592249732646726 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592250052693530 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592250052693545 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592250376630611 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592250376630619 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592250720603235 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592250720603242 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251032612524 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251032612539 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251344572998 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251344572998 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251656567640 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251656567648 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251968548148 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592251968548163 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592252280541941 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592252280541948 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592252592530161 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592252592530168 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592252964555948 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592252964555956 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592253244544275 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592253244544282 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592253540531031 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592253540531039 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592253820529818 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592253820529825 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592254124512717 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592254124512732 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592254424490384 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592254424490392 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592254736606255 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592254736606270 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592255056596815 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592255056596830 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592255368531256 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592255368531264 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592255680453680 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592255680453680 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256024504475 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256024504482 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256336496487 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256336496487 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256636444926 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256636444926 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256940398976 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592256940398991 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592257240422017 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592257240422032 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592257568461515 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592257568461522 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592257884372748 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592257884372763 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592258188506633 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592258188506640 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592258508391700 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592258508391708 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592258820350706 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592258820350721 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592259136476986 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592259136476993 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592259460355803 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592259460355810 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592259760350018 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592259760350026 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592260092338643 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592260092338658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592260388383485 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592260388383485 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592260708373576 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592260708373583 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261032368607 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261032368622 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261356354303 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261356354318 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261692292258 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261692292258 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261996281713 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592261996281728 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592262324273936 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592262324273943 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592262636221744 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592262636221744 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592262952224455 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592262952224455 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592263276204451 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592263276204466 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466592263620315492 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466592263620315499 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
